IdeAgenteAcessante,NumCNPJAgenteAcessante,NomAgenteAcessante
1,0,ABAÚNA
2,0,ABRANJO I
3,0,ACOMAIS
4,0,ADO POPINHAKI
5,0,ADVOGADO EDUARDO SOARES (ANTIGA BOA ESPERANÇA)
6,0,AEROPORTO DE SALVADOR
7,0,AFYA
8,0,AGRO TRAFO
9,0,AGROPÉU
10,0,AGROVALE
11,0,AGUDO
12,0,AGUTI
13,0,AKZONOBEL RECIFE
14,0,ALAGOA III
15,0,ALBANO MACHADO
16,0,ALCON
17,0,ALCÍDIA
18,0,ALEGRE
19,0,ALGAR AGRO
20,0,ALIANÇA
21,0,ALIRIO SENS
22,08220101000180,ALPEK POLYESTER BRASIL S.A.
23,0,ALTA FLORESTA
24,0,ALTA MOGIANA
25,0,ALTEROSA
26,0,ALTO ALEGRE
27,0,ALTO ARAGUAIA
28,0,ALTO BENEDITO NOVO I
29,0,ALTO FARIAS
30,0,ALTO FÊMEAS I
31,0,ALTO GARCIA
32,0,ALTO IRANI
33,0,ALTO PARAGUAI (PEDRO PEDROSSIAN)
34,0,ALTO SUCURIÚ
35,0,AMADOR AGUIAR I (ANTIGA CAPIM BRANCO I)
36,0,AMADOR AGUIAR II (ANTIGA CAPIM BRANCO II)
37,02341467000120,AMAZONAS ENERGIA S.A
38,0,AMERICANA
39,0,AMITEC
40,0,AMPARO
41,33050071000158,AMPLA ENERGIA E SERVICOS S.A.
42,0,ANDORINHAS
43,0,ANDORINHAS II
44,0,ANGELINA (ANTIGA PORTOBELLO - CORREDEIRA DO ENCANO)
45,0,ANGICO I
46,0,ANGÉLICA
47,0,ANGÉLICA I
48,0,ANHANGUERA
49,0,ANIL
50,0,ANJOS
51,0,ANNA MARIA
52,0,ANTUNES
53,0,ANTÔNIO BRENNAND (ANTIGA ALTO JAURU)
54,0,ANTÔNIO PRADO
55,0,APARECIDA
56,0,APARECIDA I
57,0,APE 36 NORTE
58,0,APE CLUBE DORES
59,0,APE DIMATEX
60,0,APE GAZIN MOLAS
61,0,APE GAZIN MÓVEIS (MATRIZ)
62,0,APE GRAFICA ANS
63,0,APE MASTER 4
64,0,APE MASTER 6
65,0,APE METALURGICA MARIO
66,0,APE PERTE
67,0,APE PROVERACO
68,0,APE ROHDEN
69,0,APE SOPRANO SME
70,0,APE UFN
71,0,APE UNIDASUL FL 74
72,0,APE UNIDASUL FL 75
73,0,APE UNIDASUL FL 77
74,0,APIAÍ
75,0,APOLO
76,0,APUCARANINHA
77,0,AQUARIO KIDASEN
78,0,AQUARIUS
79,0,AQUIBATÃ
80,0,ARATUÁ I
81,0,ARAXÁ 1
82,0,ARAXÁ 2
83,0,AREADO
84,0,AREAL
85,0,AREIA
86,0,AREIA BRANCA
87,0,ARIPUANÃ
88,0,ARIZONA 1
89,29667227000681,ARLANXEO BRASIL S.A.
90,0,ARMANDO RIBEIRO
91,0,ARROIO TRINTA
92,0,ARS
93,0,ARTURO ANDREOLI (ANTIGA JÚLIO DE MESQUITA FILHO)
94,0,ARVOREDO
95,0,ASJA BH
96,0,ASJA JABOATÃO
97,0,ASJA JOÃO PESSOA
98,0,ASJA SABARÁ
99,0,ASSIS CHATEAUBRIAND(ANTIGA SALTO MIMOSO)
100,0,ASSURUÁ
101,0,ASSÚ V
102,0,ATOS
103,0,AUTÓDROMO
104,0,BAGAGEM
105,0,BAHIA PULP (ANTIGA BACELL)
106,0,BAITACA
107,0,BALDIN
108,0,BAMBUÍ
109,0,BANDEIRANTE
110,0,BANDIERA RONFIM
111,0,BARIRI (ÁLVARO DE SOUZA LIMA)
112,0,BARRA
113,0,BARRA BIOENERGIA
114,0,BARRA BONITA
115,0,BARRA BONITA I
116,0,BARRA CARNEIRO
117,0,BARRA CLARA
118,0,BARRA DA PACIÊNCIA
119,0,BARRA DAS ÁGUAS
120,0,BARRA DO BRAÚNA
121,0,BARRA DO LEÃO
122,0,BARRA DO RIBEIRO
123,0,BARRA DO RIO CHAPÉU
124,0,BARRA DOS COQUEIROS
125,0,BARRA ESCONDIDA
126,0,BARRA GRANDE 2
127,0,BARRA GRANDE LENÇÓIS
128,0,BARRALCOOL
129,0,BARRINHA
130,0,BARRINHA GERAÇÃO DE ENERGIA
131,0,BARUÍTO
132,0,BATALHA (ANTIGA PAULISTA)
133,0,BAÍA FORMOSA
134,0,BBF IZIDOLÂNDIA
135,0,BBF URUCUMACUÃ
136,0,BEDIM
137,0,BELA MIRAGEM
138,0,BELA UNIÃO(TRINCHEIRA)
139,0,BELA VISTA
140,0,BELEZA
141,0,BELMONTE
142,0,BEN BIOENERGIA
143,0,BENJAMIM MÁRIO BAPTISTA (ANTIGA NOVA SINCERIDADE)
144,0,BERNECK LAGES
145,0,BERTOLDO JACOBSEN
146,0,BIO ALVORADA
147,0,BIO COOPCANA
148,0,BIOENERGIA MOCOCA
149,0,BIOENERGÉTICA VALE DO PARACATU - BEVAP
150,0,BIOFLEX CAETÉ
151,0,BIOGÁS BONFIM
152,0,BIOLINS
153,0,BIOTERMICA ENERGIA SA - GIRUA
154,0,BIOTERMICA ENERGIA SA - SANTA MARIA
155,0,BIOTERMICA ENERGIA SA - VICTOR GRAEFF
156,0,BIOTÉRMICA RECREIO
157,0,BJL 11
158,0,BJL 4
159,0,BOA ESPERANÇA (ANTIGA CERRADÃO 3)
160,0,BOA FÉ
161,0,BOA HORA 1
162,0,BOA HORA 2
163,0,BOA HORA 3
164,0,BOA HORA 4
165,0,BOA HORA 5
166,0,BOA HORA 6
167,0,BOA SORTE
168,0,BOA SORTE 1
169,0,BOA SORTE 2
170,0,BOA SORTE 3
171,0,BOA SORTE 4
172,0,BOA SORTE 5
173,0,BOA SORTE 6
174,0,BOA SORTE 7
175,0,BOA SORTE 8
176,0,BOA VISTA
177,0,BOA VISTA CAPEADA
178,0,BOA VISTA II
179,0,BOCAIÚVA
180,0,BOM JARDIM
181,0,BOM JESUS
182,0,BOM JESUS DA LAPA I
183,0,BOM JESUS DA LAPA II
184,0,BOM NOME 1-5
185,0,BOM NOME 1-6
186,0,BOM RETIRO CHAPECO
187,0,BONDE MAIS I
188,0,BONFANTE
189,0,BONFIM
190,0,BORTOLO CAROLO
191,0,BOSSARDI
192,0,BRACINHO
193,0,BRAGA
194,0,BRANCHER
195,0,BRANCO PERES
196,0,BRAÇO
197,0,BRAÇO NORTE
198,0,BRAÇO NORTE II
199,0,BRAÇO NORTE III
200,0,BRAÇO NORTE IV
201,0,BRAÇÃO
202,0,BRECHA
203,0,BRIGIDA 2
204,0,BRISAS SUAVES
205,0,BRITAMIX
206,0,BRITO
207,0,BROTAS
208,0,BROTAS II
209,0,BRUNO HEIDRICH
210,0,BRUNO HEIDRICH NETO
211,0,BRÍGIDA
212,0,BUGRES
213,0,BURICÁ
214,0,BURITI
215,0,BURITIRANA
216,0,BURITIS
217,0,BURITIZAL
218,0,BURRO BRANCO I
219,0,BVE (ANTIGA CENI)
220,50351104000119,BYD AUTO DO BRASIL LTDA
221,0,C.VALE UPL - BIOGÁS 300 KW
222,0,CAA YARI
223,0,CAAL
224,0,CAARAPÓ
225,0,CABEÇA DE BOI
226,0,CABEÇA DE PATO
227,0,CABEÇO PRETO
228,0,CABEÇO PRETO IV
229,0,CABIXI I
230,0,CABIXI II
231,0,CABOCLO
232,0,CABREÚVA
233,0,CACHOEIRA
234,0,CACHOEIRA ALTA
235,0,CACHOEIRA CACHIMBO ALTO
236,0,CACHOEIRA CINCO VEADOS
237,0,CACHOEIRA DA LIXA
238,0,CACHOEIRA DA ONÇA
239,0,CACHOEIRA DO BRUMADO
240,0,CACHOEIRA DO CAMBARA
241,0,CACHOEIRA DO LAVRINHA (ANTIGA SÃO PATRÍCIO)
242,0,CACHOEIRA DO OITO
243,0,CACHOEIRA DOS MACACOS
244,0,CACHOEIRA DOS PRAZERES
245,0,CACHOEIRA DOURADA
246,0,CACHOEIRINHA
247,0,CACONDE
248,0,CAJU
249,0,CAJURU
250,0,CALCARIO TANGARA
251,0,CALCÁRIO BOA VISTA
252,0,CALDEIRA 6 KAIRÓS
253,0,CALHEIROS
254,0,CAMARGOS
255,0,CAMBARÁ
256,0,CAMBOATÁ
257,0,CAMBUI ENERGIS
258,0,CAMBUÍ
259,0,CAMPO BELO
260,0,CAMPO FLORIDO
261,0,CAMPO LINDO
262,0,CAMPOS (ANTIGA ROBERTO SILVEIRA)
263,0,CANA BRAVA
264,0,CANASTRA
265,0,CANAÃ
266,0,CANDENGO
267,0,CANHADÃO
268,0,CANOA QUEBRADA
269,0,CANOAS
270,0,CANOAS I
271,0,CANOAS II
272,0,CANTÚ 2
273,0,CAPIGUÍ
274,0,CAPIVARI
275,0,CAPOTE
276,0,CAPÃO PRETO
277,0,CAQUENDE
278,0,CARAGUATÁ
279,0,CARAMUJO
280,0,CARAMURU SORRISO
281,0,CARANDAÍ
282,0,CARANGOLA
283,0,CARAPITANGA
284,0,CARLOS BEVILÁCQUA
285,0,CARLOS GONZATTO (ANTIGA TURVO 6)
286,0,CARNEIRINHO
287,0,CASAGRANDE SA
288,0,CASAS BANDEIRANTES
289,0,CASCA II
290,0,CASCA III
291,0,CASCATA
292,0,CASCATA CHUPINGUAIA
293,0,CASCATA DAS ANDORINHAS
294,0,CASCATA DO BARREIRO
295,0,CASCATA DO PINHEIRINHO
296,0,CASTAMAN II
297,0,CASTILHO 1
298,0,CASTILHO 2
299,0,CASTILHO 3
300,0,CASTILHO 4
301,0,CASTILHO 5
302,0,CASTRO
303,0,CATANDUVA I (ANTIGA CERRADINHO)
304,0,CAVEIRAS
305,0,CAVERNOSO
306,0,CAVERNOSO II
307,0,CAVERNOSO III
308,0,CAVERNOSO IV
309,0,CAXAMBU
310,0,CAXIENSE
311,0,CAZUZA FERREIRA
312,0,CAÇADOR
313,0,CDR PEDREIRA I
314,0,CEDRO
315,0,CEDROS (RIO DOS CEDROS)
316,85665990000130,CEJAMA - COOPERATIVA DE ELETRICIDADE JACINTO MACHADO
317,08336783000190,CELESC DISTRIBUICAO S.A
318,0,CELSO RAMOS
319,0,CEM (ANTIGA CAMEN)
320,06981180000116,CEMIG DISTRIBUIÇÃO S.A
321,88446034000155,CENTRAIS ELÉTRICAS DE CARAZINHO SA
322,0,CENTRAL ENERGÉTICA ALTA MOGIANA
323,0,CENTRAL GERADORA SUZANO RRP1
324,0,CENTRAL MINEIRÃO
325,0,CENTRAL OLHO D ÁGUA
326,09364804000144,CERACA - COOPERATIVA DISTRIBUIDORA DE ENERGIA VALE DO ARACA
327,97505838000179,CERFOX - COOPERATIVA DE DISTRIBUICAO DE ENERGIA FONTOURA XAVIER
328,0,CERRADINHO MS1
329,0,CERRADÃO
330,0,CERRADÃO 2
331,86512670000102,CERSUL - COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA
332,06791750000000,CERVAM COOPERATIVA DE ENERGIZAÇÃO E DE DESENVOLVIMENTO RURAL DO VALE DO MOGI LTDA
333,0,CESAR FILHO
334,0,CESAR FILHO I
335,0,CET (ANTIGA BIOENERGÉTICA AROEIRA)
336,0,CEVASA
337,0,CGH RIO DO MATO
338,0,CHALÉ
339,0,CHAMINÉ
340,0,CHAPADAO
341,0,CHAPEMEC
342,0,CHIBARRO
343,0,CHIMARRÃO
344,0,CHOPIM I
345,0,CHUPINGUAIA
346,0,CICLUS
347,0,CIDEZAL
348,10919934000185,CIMPOR CIMENTOS DO BRASIL S.A.
349,0,CITROVITA CATANDUVA
350,0,CLAUDINA
351,0,CLEALCO QUEIROZ
352,0,COAF
353,0,COARACY NUNES
354,0,COBRE KM 19
355,0,COCAIS GRANDE
356,0,COCAL
357,0,COCAL II
358,0,CODORA
359,0,COLETEK
360,0,COLINO 1
361,0,COLINO 2
362,0,COLOMBO ARIRANHA
363,0,COLOMBO ARIRANHA 2
364,0,COLOMBO SANTA ALBERTINA
365,0,COLORADO
366,0,COMENDADOR VENÃNCIO
367,0,COMERCIAL ZAFFARI CAXIAS DO SUL APE
368,75805895000130,COMPANHIA CAMPOLARGUENSE DE ENERGIA COCEL
369,05965546000109,COMPANHIA DE ELETRICIDADE DO AMAPA CEA
370,15139629000194,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA COELBA
371,10835932000108,COMPANHIA ENERGETICA DE PERNAMBUCO
372,53859112000169,COMPANHIA JAGUARI DE ENERGIA
373,04172213000151,COMPANHIA PIRATININGA DE FORCA E LUZ
374,0,COMPESA SEDE
375,0,COMVAP
376,0,CONFLUÊNCIA
377,0,CONGONHAL I
378,0,CONGONHAL II
379,0,CONQUISTA DO PONTAL
380,0,CONRADO HEITOR DE QUEIROZ/KAMAMULTDA
381,0,CONSELVAN
382,0,CONTESTADO
383,20364830000000,CONTINENTAL DO BRASIL PRODUTOS AUTOMOTIVOS LTDA
384,49606312000132,COOP DE ELET RURAL DE ITAI PARANAPANEMA AVARE LTDA
385,0,COOPER-RUBI
386,83647990000181,COOPERATIVA ALIANCA
387,75826404000138,COOPERATIVA DE DISTRIBUICAO DE ENERGIA ELETRICA DE ANITAPOLIS - CERAL
388,10532365000110,COOPERATIVA DE DISTRIBUICAO DE ENERGIA ELETRICA DE ARAPOTI
389,30460297000139,COOPERATIVA DE DISTRIBUICAO DE ENERGIA ELETRICA DE CASTRO
390,11615872000180,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SALTO DONNER
391,11810343000138,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SANTA MARIA
392,98042963000152,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ENTRE RIOS LTDA
393,09257558000121,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA TEUTÔNIA
394,97081434000103,COOPERATIVA DE DISTRIBUIÇÃO E GERAÇÃO DE ENERGIA DAS MISSÕES - CERMISSÕES
395,86449170000173,COOPERATIVA DE ELETRICIDADE DE GRAVATAL
396,85318640000105,COOPERATIVA DE ELETRICIDADE DE PAULO LOPES
397,86444163000189,COOPERATIVA DE ELETRICIDADE DE SÃO LUDGERO
398,01229747000189,COOPERATIVA DE ELETRICIDADE GRÃO PARÁ
399,78274610000170,COOPERATIVA DE ELETRICIDADE PRAIA GRANDE
400,86439510000185,COOPERATIVA DE ELETRIFICACAO ANITA GARIBALDI
401,60196987000193,COOPERATIVA DE ELETRIFICACAO DA REGIAO DO ALTO PARAIBA
402,49313653000110,COOPERATIVA DE ELETRIFICACAO DE IBIUNA E REGIAO
403,52548732000114,COOPERATIVA DE ELETRIFICACAO E DESENVOLVIMENTO DA REGIAO DE MOGI DAS CRUZES
404,13107842000199,COOPERATIVA DE ELETRIFICACAO E DESENVOLVIMENTO RURAL CENTRO SUL DE SERGIPE LTDA
405,53176038000186,COOPERATIVA DE ELETRIFICACAO E DESENVOLVIMENTO RURAL DA REGIAO DE NOVO HORIZONTE
406,27707397000102,COOPERATIVA DE ELETRIFICACAO RURAL CACHOEIRAS ITABORAI LTDA
407,44560381000139,COOPERATIVA DE ELETRIFICACAO RURAL DA REGIAO DE PROMISSAO
408,31465487000101,COOPERATIVA DE ELETRIFICACAO RURAL DE RESENDE LTDA
409,50235449000107,COOPERATIVA DE ELETRIFICAO E DESENVOLVIMENTO DA REGIAO DE ITU MAIRINQUE
410,87776043000141,COOPERATIVA DE ELETRIFICAÇÃO CENTRO JACUÍ LTDA
411,57384943000182,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DE ITAPECERICA DA SERRA
412,86433042000131,COOPERATIVA DE ELETRIFICAÇÃO DE BRAÇO DO NORTE
413,52777034000190,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI MIRIM
414,46598678000119,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE SÃO JOSÉ DO RIO PRETO-CERRP
415,50105865000190,COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI
416,75568154000183,COOPERATIVA DE ELETRIFICAÇÃO LAURO MULLER
417,28610236000169,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ARARUAMA LTDA
418,76583962000182,COOPERATIVA DE ENERGIA TREVISO
419,55188502000180,COOPERATIVA DE ENERGIZAÇÃO E DE DESENVOLVIMENTO DO VALE DO MOGI
420,82574864000181,COOPERATIVA DE PRESTACAO DE SERVICOS PUBLICOS DE DISTRIBUICAO DE ENERGIA ELETRICA SENADOR ESTEVES JUNIOR - CEREJ
421,86532348000145,COOPERATIVA ENERGÉTICA COCAL
422,86533346000170,COOPERATIVA FUMACENSE DE ELETRICIDADE - CERMOFUL ENERGIA
423,83646653000170,COOPERATIVA PIONEIRA DE ELETRIFICAÇÃO - COOPERA
424,88022918000182,COOPERATIVA REGIONAL DE DISTRIBUICAO DE ENERGIA DO LITORAL NORTE - COOPERNORTE
425,87462750000163,COOPERATIVA REGIONAL DE ELETRIFICAÇÃO RURAL FRONTEIRA SUL LTDA
