mercado_id,NomTipoMercado,DscModalidadeTarifaria,DscSubGrupoTarifario,DscClasseConsumoMercado,DscSubClasseConsumidor,DscDetalheConsumidor,DscPostoTarifario,DscOpcaoEnergia,DscDetalheMercado
1,RTE,Convencional,B1,Residencial,Residencial,Não se aplica,Não se aplica,CATIVO,Receita Energia (R$)
2,Refaturamento - Regular,Azul,A4,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
3,Refaturamento - Regular,Azul,A3,Industrial,Não se aplica,Não se aplica,Fora ponta,LIVRE,Demanda Faturada (kW)
4,Refaturamento - Regular,Azul,A3a,Comercial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
5,Refaturamento - Regular,Azul,A2,Serviço público,Tração elétrica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
6,Refaturamento - Regular,Azul,A4,Poder público,Não se aplica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
7,Refaturamento - Regular,Azul,A4,Comercial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
8,Refaturamento - Regular,Azul,A2,Poder público,Não se aplica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
9,Refaturamento - Regular,Azul,A2,Industrial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
10,Refaturamento - Regular,Azul,A4,Industrial,Não se aplica,Não se aplica,Fora ponta,LIVRE,Demanda Faturada (kW)
11,Refaturamento - Regular,Azul,A2,Industrial,Não se aplica,Não se aplica,Fora ponta,LIVRE,Demanda Faturada (kW)
12,Refaturamento - Regular,Azul,A4,Industrial,Não se aplica,Fonte incentivada,Fora ponta,LIVRE,Demanda Faturada (kW)
13,Refaturamento - Regular,Azul,A3,Industrial,Não se aplica,Fonte incentivada,Fora ponta,LIVRE,Demanda Faturada (kW)
14,Refaturamento - Regular,Azul,AS,Comercial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
15,Refaturamento - Regular,Azul,A2,Comercial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
16,Refaturamento - Regular,Azul,A3,Serviço público,Tração elétrica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
17,Refaturamento - Regular,Azul,A3,Rural,Agropecuária rural,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
18,Refaturamento - Regular,Azul,A4,Industrial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
19,Refaturamento - Regular,Azul,A3,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,LIVRE,Demanda Faturada (kW)
20,Refaturamento - Regular,Azul,A3,Industrial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
21,Refaturamento - Regular,Azul,AS,Poder público,Não se aplica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
22,Refaturamento - Regular,Azul,A4,Rural,Agropecuária rural,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
23,Refaturamento - Regular,Azul,A3a,Industrial,Não se aplica,Fonte incentivada,Fora ponta,LIVRE,Demanda Faturada (kW)
24,Refaturamento - Regular,Azul,A4,Rural,Aquicultura,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
25,Refaturamento - Regular,Azul,A4,Rural,Não se aplica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
26,Refaturamento - Regular,Azul,A3,Comercial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
27,Refaturamento - Regular,Azul,A3a,Serviço público,"Água, esgoto e saneamento",Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
28,Refaturamento - Regular,Azul,A3a,Industrial,Não se aplica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
29,Refaturamento - Regular,Azul,A2,Serviço público,Tração elétrica,Não se aplica,Fora ponta,LIVRE,Demanda Faturada (kW)
30,Refaturamento - Regular,Azul,A3a,Rural,Não se aplica,Não se aplica,Fora ponta,CATIVO,Demanda Faturada (kW)
31,Refaturamento - Regular,Azul,A3,Comercial,Não se aplica,Não se aplica,Fora ponta,LIVRE,Demanda Faturada (kW)
