tempo_id,data_competencia,ano,mes,nome_mes,trimestre,semestre
1,2024-01-01,2024,1,January,1,1
2,2024-02-01,2024,2,February,1,1
3,2024-03-01,2024,3,March,1,1
4,2024-04-01,2024,4,April,2,1
5,2024-05-01,2024,5,May,2,1
6,2024-06-01,2024,6,June,2,1
7,2024-07-01,2024,7,July,3,2
8,2024-08-01,2024,8,August,3,2
9,2024-09-01,2024,9,September,3,2
10,2024-10-01,2024,10,October,4,2
11,2024-11-01,2024,11,November,4,2
12,2024-12-01,2024,12,December,4,2
13,2025-01-01,2025,1,January,1,1
14,2025-02-01,2025,2,February,1,1
15,2025-03-01,2025,3,March,1,1
16,2025-04-01,2025,4,April,2,1
17,2025-05-01,2025,5,May,2,1
18,2025-06-01,2025,6,June,2,1
19,2025-07-01,2025,7,July,3,2
20,2025-08-01,2025,8,August,3,2
21,2025-09-01,2025,9,September,3,2
22,2025-10-01,2025,10,October,4,2
23,2025-11-01,2025,11,November,4,2
24,2025-12-01,2025,12,December,4,2
25,2026-01-01,2026,1,January,1,1
26,2026-02-01,2026,2,February,1,1
27,2026-03-01,2026,3,March,1,1
28,2026-04-01,2026,4,April,2,1
